category,crime,gainingType,gainings,group,id,nerveUsed,nnb,outcome,status
drug_deals,cocaine,money,764,drugs,4945,8,35,success,success
drug_deals,cocaine,money,823,drugs,4948,8,35,success,success
drug_deals,cocaine,money,862,drugs,4949,,35,success,success
drug_deals,cocaine,money,857,drugs,4950,,35,success,success
drug_deals,cocaine,money,815,drugs,4951,,35,success,success
drug_deals,cocaine,money,854,drugs,4952,,35,success,success
drug_deals,cocaine,money,764,drugs,4953,,35,success,success
drug_deals,cocaine,money,754,drugs,4954,,35,success,success
drug_deals,cocaine,money,757,drugs,4955,,35,success,success
drug_deals,cocaine,,,drugs,4966,8,35,jail,error
drug_deals,cocaine,money,823,drugs,5087,8,35,success,success
drug_deals,cocaine,money,798,drugs,5088,8,35,success,success
drug_deals,cocaine,money,815,drugs,5089,8,35,success,success
drug_deals,cocaine,money,772,drugs,5090,8,35,success,success
drug_deals,cocaine,money,875,drugs,5091,8,35,success,success
drug_deals,cocaine,money,867,drugs,5092,8,35,success,success
drug_deals,cocaine,money,819,drugs,5100,8,35,success,success
drug_deals,cocaine,money,782,drugs,5131,8,35,success,success
drug_deals,cocaine,money,809,drugs,5132,8,35,success,success
drug_deals,cocaine,money,875,drugs,5133,8,35,success,success
drug_deals,cocaine,money,759,drugs,5294,8,35,success,success
drug_deals,cocaine,money,896,drugs,5295,8,35,success,success
drug_deals,cocaine,money,875,drugs,5296,8,35,success,success
drug_deals,cocaine,,,drugs,5297,8,35,blue,ready
drug_deals,cocaine,money,844,drugs,5298,8,35,success,success
drug_deals,cocaine,,,drugs,5299,8,35,jail,error
drug_deals,cocaine,,,drugs,5300,8,35,blue,ready
drug_deals,cocaine,money,857,drugs,5407,8,35,success,success
drug_deals,cocaine,money,808,drugs,5408,8,35,success,success
other,searchtrainstation,money,6,search,5409,2,35,success,success
drug_deals,cocaine,money,816,drugs,5410,8,35,success,success
drug_deals,cocaine,money,754,drugs,5411,8,35,success,success
drug_deals,cocaine,money,841,drugs,5412,8,35,success,success
drug_deals,cocaine,money,781,drugs,5413,8,35,success,success
drug_deals,cocaine,money,777,drugs,5414,8,35,success,success
drug_deals,cocaine,money,898,drugs,5415,8,35,success,success
drug_deals,cocaine,money,873,drugs,5416,8,35,success,success
drug_deals,cocaine,money,890,drugs,5417,8,35,success,success
drug_deals,cocaine,money,784,drugs,5418,8,35,success,success
drug_deals,cocaine,money,801,drugs,5419,8,35,success,success
drug_deals,cocaine,money,860,drugs,5420,8,35,success,success
drug_deals,cocaine,money,833,drugs,5421,8,35,success,success
drug_deals,cocaine,,,drugs,5609,8,35,blue,ready
drug_deals,cocaine,money,828,drugs,5610,8,35,success,success
drug_deals,cocaine,,,drugs,5611,8,35,blue,ready
drug_deals,cocaine,money,751,drugs,5612,8,35,success,success
drug_deals,cocaine,money,750,drugs,5613,8,35,success,success
drug_deals,cocaine,money,830,drugs,5614,8,35,success,success
drug_deals,cocaine,money,788,drugs,5615,8,35,success,success
drug_deals,cocaine,money,886,drugs,5616,8,35,success,success
drug_deals,cocaine,money,760,drugs,5617,8,35,success,success
drug_deals,cocaine,money,862,drugs,5618,8,35,success,success
drug_deals,cocaine,money,799,drugs,5656,8,35,success,success
drug_deals,cocaine,money,777,drugs,5657,8,35,success,success
drug_deals,cocaine,money,873,drugs,5658,8,35,success,success
other,searchtrainstation,money,5,search,5659,2,35,success,success
other,searchtrainstation,money,6,search,5660,,35,success,success
